Ground truth Filename,Study case id,Responder id,Preferred diagnosis,Preferred diagnosis confidence (0-4),Differential diagnosis,Secondary differential diagnosis,Recommended management,Recommended management specified / other,Recommended management confidence (0-4),Change diagnosis after AI,Preferred diagnosis after AI,Preferred diagnosis confidence after AI (0-4),Differential diagnosis after AI,Secondary differential diagnosis after AI,Change management after AI,Recommended management after AI,Recommended management specified / other after AI,Recommended management confidence after AI (0-4),AI usefulness in this case
case_1_front_Vitiligo.jpg,case_1_front.jpg,3,Rosacea,1,Lupus,don't know,Surgical Excision,Management plan for case #1. ,2,no,Rosacea,1,Lupus,don't know,yes,Chemotherapy,Post-AI management plan for case #1. Plan modified after reviewing AI results.,1,very helpful
case_1_front_Vitiligo.jpg,case_1_front.jpg,9,Contact Dermatitis,5,don't know,don't know,Laser Treatment,Management plan for case #1. ,1,yes,Lupus,2,Impetigo,don't know,yes,Oral Medication,Post-AI management plan for case #1. Plan modified after reviewing AI results.,3,neutral
case_1_front_Vitiligo.jpg,case_1_front.jpg,2,Melanoma,3,Basal Cell Carcinoma,Melanoma,Surgical Excision,dsf,3,N/A (no post-AI data),don't know,don't know,don't know,don't know,N/A (no post-AI data),don't know,don't know,don't know,don't know
case_1_front_Vitiligo.jpg,case_1_front.jpg,12,Basal Cell Carcinoma,4,Basal Cell Carcinoma,Squamous Cell Carcinoma,Oral Medication,8,4,yes,Squamous Cell Carcinoma,3,Squamous Cell Carcinoma,Basal Cell Carcinoma,yes,Topical Treatment,sad,3,somewhat
case_1_front_Vitiligo.jpg,case_1_front.jpg,14,Melanoma,5,Melanoma,Melanoma,Reassure and Discharge,hj sa j k l n k j s j k,5,yes,Squamous Cell Carcinoma,5,Basal Cell Carcinoma,Basal Cell Carcinoma,yes,Oral Medication,vfvfref,5,very
case_2_back_Vitiligo.jpg,case_2_back.jpg,10,Eczema,1,don't know,don't know,Topical Treatment,Management plan for case #2. Recommend follow-up in 6 weeks.,5,N/A (no post-AI data),don't know,don't know,don't know,don't know,N/A (no post-AI data),don't know,don't know,don't know,don't know
case_2_back_Vitiligo.jpg,case_2_back.jpg,12,Basal Cell Carcinoma,3,Basal Cell Carcinoma,Squamous Cell Carcinoma,Topical Treatment,7,3,no,Basal Cell Carcinoma,3,Basal Cell Carcinoma,Squamous Cell Carcinoma,yes,Oral Medication,don't know,3,somewhat
case_2_back_Vitiligo.jpg,case_2_back.jpg,13,Basal Cell Carcinoma,2,Basal Cell Carcinoma,Squamous Cell Carcinoma,Topical Treatment,324,2,no,Basal Cell Carcinoma,2,Basal Cell Carcinoma,Squamous Cell Carcinoma,no,Topical Treatment,423,2,somewhat
case_2_back_Vitiligo.jpg,case_2_back.jpg,14,Melanoma,3,Squamous Cell Carcinoma,Basal Cell Carcinoma,Reassure and Discharge,wedge,3,yes,Basal Cell Carcinoma,4,Squamous Cell Carcinoma,Squamous Cell Carcinoma,yes,Cryotherapy,rgrgg4,4,very
case_3_close_Folliculitis.jpg,case_3_close.jpg,7,Cellulitis,1,Basal Cell Carcinoma,Atopic Dermatitis,Laser Treatment,Management plan for case #3. Recommend follow-up in 6 weeks.,1,no,Cellulitis,1,Basal Cell Carcinoma,Atopic Dermatitis,no,Laser Treatment,Post-AI management plan for case #3. ,2,somewhat helpful
case_3_close_Folliculitis.jpg,case_3_close.jpg,2,Melanoma,3,Basal Cell Carcinoma,Basal Cell Carcinoma,Topical Treatment,6reter,3,N/A (no post-AI data),don't know,don't know,don't know,don't know,N/A (no post-AI data),don't know,don't know,don't know,don't know
case_3_close_Folliculitis.jpg,case_3_close.jpg,12,Squamous Cell Carcinoma,4,Squamous Cell Carcinoma,Squamous Cell Carcinoma,Surgical Excision,fgfd,4,yes,Melanoma,4,Basal Cell Carcinoma,Basal Cell Carcinoma,no,Surgical Excision,don't know,4,not
case_3_close_Folliculitis.jpg,case_3_close.jpg,13,Basal Cell Carcinoma,4,Squamous Cell Carcinoma,Actinic Keratosis,Oral Medication,don't know,4,yes,Melanoma,4,Basal Cell Carcinoma,Melanoma,yes,Topical Treatment,don't know,4,somewhat
case_4_back_Cellulitis.jpg,case_4_back.jpg,5,Acne Vulgaris,3,Eczema,Scabies,Oral Medication,Management plan for case #4. ,2,no,Acne Vulgaris,2,Eczema,Scabies,yes,Topical Treatment,Post-AI management plan for case #4. Plan modified after reviewing AI results.,1,neutral
case_4_back_Cellulitis.jpg,case_4_back.jpg,6,Lupus,3,Shingles,Melanoma,Surgical Excision,Management plan for case #4. Recommend follow-up in 6 weeks.,5,yes,Rosacea,3,Atopic Dermatitis,Dermatofibroma,yes,Topical Treatment,Post-AI management plan for case #4. Plan modified after reviewing AI results.,3,somewhat helpful
case_4_back_Cellulitis.jpg,case_4_back.jpg,12,Melanoma,3,Basal Cell Carcinoma,Actinic Keratosis,Oral Medication,234,3,yes,don't know,don't know,don't know,don't know,yes,don't know,don't know,don't know,don't know
case_5_back_Squamous Cell Carcinoma.jpg,case_5_back.jpg,12,Squamous Cell Carcinoma,4,Squamous Cell Carcinoma,Basal Cell Carcinoma,Topical Treatment,sre,5,no,Squamous Cell Carcinoma,4,Squamous Cell Carcinoma,Basal Cell Carcinoma,no,Topical Treatment,sre,5,somewhat
case_6_close_Cellulitis.jpg,case_6_close.jpg,5,Cellulitis,1,don't know,don't know,Topical Treatment,Management plan for case #6. ,5,N/A (no post-AI data),don't know,don't know,don't know,don't know,N/A (no post-AI data),don't know,don't know,don't know,don't know
case_6_close_Cellulitis.jpg,case_6_close.jpg,9,Basal Cell Carcinoma,1,Contact Dermatitis,don't know,Refer to Dermatologist,Management plan for case #6. ,2,yes,Vitiligo,4,Atopic Dermatitis,Folliculitis,yes,Topical Treatment,Post-AI management plan for case #6. Plan modified after reviewing AI results.,3,neutral
case_6_close_Cellulitis.jpg,case_6_close.jpg,12,Basal Cell Carcinoma,3,Basal Cell Carcinoma,Melanoma,Topical Treatment,yuiyui,3,yes,don't know,don't know,don't know,don't know,yes,don't know,don't know,don't know,don't know
case_7_close_Actinic Keratosis.jpg,case_7_close.jpg,11,Nevus,1,don't know,don't know,Radiotherapy,Management plan for case #7. ,2,yes,Atopic Dermatitis,1,don't know,don't know,no,Radiotherapy,Post-AI management plan for case #7. ,5,very helpful
case_7_close_Actinic Keratosis.jpg,case_7_close.jpg,12,Basal Cell Carcinoma,3,Seborrheic Keratosis,Basal Cell Carcinoma,Topical Treatment,don't know,3,no,Basal Cell Carcinoma,3,Seborrheic Keratosis,Basal Cell Carcinoma,no,Topical Treatment,don't know,3,somewhat
case_8_dermoscopic_Atopic Dermatitis.jpg,case_8_dermoscopic.jpg,8,Shingles,1,don't know,don't know,Topical Treatment,Management plan for case #8. ,3,yes,Lupus,3,Seborrheic Keratosis,don't know,no,Topical Treatment,Post-AI management plan for case #8. ,5,somewhat helpful
case_8_dermoscopic_Atopic Dermatitis.jpg,case_8_dermoscopic.jpg,10,Acne Vulgaris,3,Basal Cell Carcinoma,Cellulitis,Surgical Excision,Management plan for case #8. ,1,no,Acne Vulgaris,2,Basal Cell Carcinoma,Cellulitis,no,Surgical Excision,Post-AI management plan for case #8. ,5,somewhat helpful
case_8_dermoscopic_Atopic Dermatitis.jpg,case_8_dermoscopic.jpg,12,Squamous Cell Carcinoma,5,Squamous Cell Carcinoma,Basal Cell Carcinoma,Topical Treatment,don't know,5,no,Squamous Cell Carcinoma,4,Squamous Cell Carcinoma,Basal Cell Carcinoma,yes,Surgical Excision,sdf,2,very
case_9_dermoscopic_Seborrheic Keratosis.jpg,case_9_dermoscopic.jpg,9,Contact Dermatitis,3,don't know,don't know,Chemotherapy,Management plan for case #9. Recommend follow-up in 6 weeks.,5,yes,Vitiligo,3,don't know,don't know,yes,Immunotherapy,Post-AI management plan for case #9. Plan modified after reviewing AI results.,5,not helpful
case_9_dermoscopic_Seborrheic Keratosis.jpg,case_9_dermoscopic.jpg,11,Melanoma,2,Cherry Angioma,don't know,Surgical Excision,Management plan for case #9. Recommend follow-up in 6 weeks.,3,no,Melanoma,1,Cherry Angioma,don't know,yes,Chemotherapy,Post-AI management plan for case #9. Plan modified after reviewing AI results.,5,neutral
case_9_dermoscopic_Seborrheic Keratosis.jpg,case_9_dermoscopic.jpg,14,Basal Cell Carcinoma,4,Basal Cell Carcinoma,Nevus,Topical Treatment,don't know,4,N/A (no post-AI data),don't know,don't know,don't know,don't know,N/A (no post-AI data),don't know,don't know,don't know,don't know
case_9_dermoscopic_Seborrheic Keratosis.jpg,case_9_dermoscopic.jpg,12,Basal Cell Carcinoma,4,Squamous Cell Carcinoma,Melanoma,Topical Treatment,don't know,4,N/A (no post-AI data),don't know,don't know,don't know,don't know,N/A (no post-AI data),don't know,don't know,don't know,don't know
case_10_dermoscopic_Dermatofibroma.jpg,case_10_dermoscopic.jpg,2,Scabies,4,don't know,don't know,Topical Treatment,Management plan for case #10. ,1,no,Scabies,2,don't know,don't know,yes,Refer to Dermatologist,Post-AI management plan for case #10. Plan modified after reviewing AI results.,1,somewhat helpful
case_11_dermoscopic_Melanoma.jpg,case_11_dermoscopic.jpg,5,Warts,4,Scabies,don't know,Topical Treatment,Management plan for case #11. Recommend follow-up in 6 weeks.,5,no,Warts,3,Scabies,don't know,yes,Phototherapy,Post-AI management plan for case #11. Plan modified after reviewing AI results.,1,very helpful
case_11_dermoscopic_Melanoma.jpg,case_11_dermoscopic.jpg,7,Cysts,5,don't know,don't know,Laser Treatment,Management plan for case #11. Recommend follow-up in 6 weeks.,4,yes,Cherry Angioma,1,Impetigo,don't know,no,Laser Treatment,Post-AI management plan for case #11. ,3,very helpful
case_14_close_Acne Vulgaris.jpg,case_14_close.jpg,2,Impetigo,1,Rosacea,Cherry Angioma,Biopsy,Management plan for case #14. ,1,N/A (no post-AI data),don't know,don't know,don't know,don't know,N/A (no post-AI data),don't know,don't know,don't know,don't know
case_14_close_Acne Vulgaris.jpg,case_14_close.jpg,6,Cysts,1,Lupus,don't know,Surgical Excision,Management plan for case #14. ,4,yes,Eczema,4,Sebaceous Hyperplasia,don't know,yes,Biopsy,Post-AI management plan for case #14. Plan modified after reviewing AI results.,2,neutral
case_14_close_Acne Vulgaris.jpg,case_14_close.jpg,8,Sebaceous Hyperplasia,4,don't know,don't know,Biopsy,Management plan for case #14. ,3,N/A (no post-AI data),don't know,don't know,don't know,don't know,N/A (no post-AI data),don't know,don't know,don't know,don't know
case_14_close_Acne Vulgaris.jpg,case_14_close.jpg,12,Basal Cell Carcinoma,4,Melanoma,Squamous Cell Carcinoma,Oral Medication,don't know,4,yes,Squamous Cell Carcinoma,4,Melanoma,Actinic Keratosis,no,Oral Medication,don't know,4,not
case_15_back_Psoriasis.jpg,case_15_back.jpg,2,Cellulitis,2,don't know,don't know,Phototherapy,Management plan for case #15. ,2,yes,Basal Cell Carcinoma,4,Basal Cell Carcinoma,Basal Cell Carcinoma,yes,Topical Treatment,fsrdg,4,somewhat
case_15_back_Psoriasis.jpg,case_15_back.jpg,9,Contact Dermatitis,3,don't know,don't know,Reassure and Discharge,Management plan for case #15. ,1,N/A (no post-AI data),don't know,don't know,don't know,don't know,N/A (no post-AI data),don't know,don't know,don't know,don't know
case_15_back_Psoriasis.jpg,case_15_back.jpg,10,Lupus,5,don't know,don't know,Topical Treatment,Management plan for case #15. ,5,no,Lupus,3,don't know,don't know,no,Topical Treatment,Post-AI management plan for case #15. ,4,neutral
case_15_back_Psoriasis.jpg,case_15_back.jpg,12,Basal Cell Carcinoma,3,Basal Cell Carcinoma,Squamous Cell Carcinoma,Oral Medication,768,3,yes,don't know,don't know,don't know,don't know,yes,don't know,don't know,don't know,don't know
case_16_front_Folliculitis.jpg,case_16_front.jpg,2,Squamous Cell Carcinoma,5,don't know,don't know,Oral Medication,Management plan for case #16. Recommend follow-up in 6 weeks.,1,yes,Milia,1,Warts,Hives,no,Oral Medication,Post-AI management plan for case #16. ,3,very helpful
case_16_front_Folliculitis.jpg,case_16_front.jpg,5,Cellulitis,2,don't know,don't know,Laser Treatment,Management plan for case #16. ,1,no,Cellulitis,4,don't know,don't know,no,Laser Treatment,Post-AI management plan for case #16. ,3,somewhat helpful
case_17_dermoscopic_Nevus.jpg,case_17_dermoscopic.jpg,8,Squamous Cell Carcinoma,4,Sebaceous Hyperplasia,don't know,Topical Treatment,Management plan for case #17. Recommend follow-up in 6 weeks.,2,N/A (no post-AI data),don't know,don't know,don't know,don't know,N/A (no post-AI data),don't know,don't know,don't know,don't know
case_17_dermoscopic_Nevus.jpg,case_17_dermoscopic.jpg,9,Actinic Keratosis,3,don't know,don't know,Immunotherapy,Management plan for case #17. ,1,N/A (no post-AI data),don't know,don't know,don't know,don't know,N/A (no post-AI data),don't know,don't know,don't know,don't know
case_18_close_Seborrheic Keratosis.jpg,case_18_close.jpg,2,Cysts,1,Dermatofibroma,Lupus,Topical Treatment,Management plan for case #18. ,5,no,Cysts,4,Dermatofibroma,Lupus,yes,Surgical Excision,Post-AI management plan for case #18. Plan modified after reviewing AI results.,4,neutral
case_18_close_Seborrheic Keratosis.jpg,case_18_close.jpg,3,Acne Vulgaris,4,don't know,don't know,Reassure and Discharge,Management plan for case #18. ,1,N/A (no post-AI data),don't know,don't know,don't know,don't know,N/A (no post-AI data),don't know,don't know,don't know,don't know
case_18_close_Seborrheic Keratosis.jpg,case_18_close.jpg,5,Milia,3,Vitiligo,Seborrheic Keratosis,Radiotherapy,Management plan for case #18. Recommend follow-up in 6 weeks.,1,yes,Folliculitis,4,Sebaceous Hyperplasia,don't know,no,Radiotherapy,Post-AI management plan for case #18. ,1,somewhat helpful
case_18_close_Seborrheic Keratosis.jpg,case_18_close.jpg,6,Contact Dermatitis,3,Psoriasis,don't know,Phototherapy,Management plan for case #18. ,2,N/A (no post-AI data),don't know,don't know,don't know,don't know,N/A (no post-AI data),don't know,don't know,don't know,don't know
case_18_close_Seborrheic Keratosis.jpg,case_18_close.jpg,7,Sebaceous Hyperplasia,5,Vitiligo,Nevus,Refer to Dermatologist,Management plan for case #18. Recommend follow-up in 6 weeks.,3,no,Sebaceous Hyperplasia,2,Vitiligo,Nevus,no,Refer to Dermatologist,Post-AI management plan for case #18. ,5,neutral
case_19_close_Vitiligo.jpg,case_19_close.jpg,11,Squamous Cell Carcinoma,5,Warts,don't know,Immunotherapy,Management plan for case #19. Recommend follow-up in 6 weeks.,3,yes,Melanoma,2,don't know,don't know,yes,Radiotherapy,Post-AI management plan for case #19. Plan modified after reviewing AI results.,3,very helpful
case_19_close_Vitiligo.jpg,case_19_close.jpg,12,Melanoma,3,Squamous Cell Carcinoma,Nevus,Topical Treatment,8,3,yes,Basal Cell Carcinoma,3,Squamous Cell Carcinoma,Squamous Cell Carcinoma,yes,Oral Medication,dsfdf,3,somewhat
case_20_front_Shingles.jpg,case_20_front.jpg,2,Milia,4,Basal Cell Carcinoma,don't know,Phototherapy,Management plan for case #20. Recommend follow-up in 6 weeks.,4,N/A (no post-AI data),don't know,don't know,don't know,don't know,N/A (no post-AI data),don't know,don't know,don't know,don't know
case_21_back_Basal Cell Carcinoma.jpg,case_21_back.jpg,8,Scabies,1,Squamous Cell Carcinoma,Cellulitis,Radiotherapy,Management plan for case #21. ,3,yes,Eczema,1,Rosacea,Lupus,no,Radiotherapy,Post-AI management plan for case #21. ,5,not helpful
case_22_back_Cellulitis.jpg,case_22_back.jpg,4,Cherry Angioma,5,Dermatofibroma,Tinea Versicolor,Chemotherapy,Management plan for case #22. Recommend follow-up in 6 weeks.,3,N/A (no post-AI data),don't know,don't know,don't know,don't know,N/A (no post-AI data),don't know,don't know,don't know,don't know
case_22_back_Cellulitis.jpg,case_22_back.jpg,5,Rosacea,1,Cysts,Warts,Oral Medication,Management plan for case #22. ,1,yes,Vitiligo,4,don't know,don't know,no,Oral Medication,Post-AI management plan for case #22. ,3,somewhat helpful
case_22_back_Cellulitis.jpg,case_22_back.jpg,8,Dermatofibroma,5,Psoriasis,don't know,Refer to Dermatologist,Management plan for case #22. Recommend follow-up in 6 weeks.,2,yes,Squamous Cell Carcinoma,1,Actinic Keratosis,don't know,no,Refer to Dermatologist,Post-AI management plan for case #22. ,3,neutral
case_22_back_Cellulitis.jpg,case_22_back.jpg,12,Basal Cell Carcinoma,5,Melanoma,Squamous Cell Carcinoma,Oral Medication,asdfasdf,4,yes,Basal Cell Carcinoma,5,Melanoma,Seborrheic Keratosis,no,Oral Medication,asdfasdf,4,very
case_23_back_Dermatofibroma.jpg,case_23_back.jpg,12,Melanoma,3,Basal Cell Carcinoma,Squamous Cell Carcinoma,Topical Treatment,ytuy,3,N/A (no post-AI data),don't know,don't know,don't know,don't know,N/A (no post-AI data),don't know,don't know,don't know,don't know
case_24_back_Tinea Versicolor.jpg,case_24_back.jpg,5,Sebaceous Hyperplasia,4,Actinic Keratosis,don't know,Chemotherapy,Management plan for case #24. ,1,N/A (no post-AI data),don't know,don't know,don't know,don't know,N/A (no post-AI data),don't know,don't know,don't know,don't know
case_24_back_Tinea Versicolor.jpg,case_24_back.jpg,8,Actinic Keratosis,1,Hives,don't know,Oral Medication,Management plan for case #24. Recommend follow-up in 6 weeks.,1,N/A (no post-AI data),don't know,don't know,don't know,don't know,N/A (no post-AI data),don't know,don't know,don't know,don't know
case_25_front_Impetigo.jpg,case_25_front.jpg,4,Milia,1,Actinic Keratosis,Shingles,Cryotherapy,Management plan for case #25. Recommend follow-up in 6 weeks.,1,no,Milia,4,Actinic Keratosis,Shingles,yes,Laser Treatment,Post-AI management plan for case #25. Plan modified after reviewing AI results.,1,neutral
case_26_close_Milia.jpg,case_26_close.jpg,4,Psoriasis,3,don't know,don't know,Oral Medication,Management plan for case #26. Recommend follow-up in 6 weeks.,2,no,Psoriasis,4,don't know,don't know,no,Oral Medication,Post-AI management plan for case #26. ,5,neutral
case_26_close_Milia.jpg,case_26_close.jpg,8,Milia,5,don't know,don't know,Refer to Dermatologist,Management plan for case #26. Recommend follow-up in 6 weeks.,4,no,Milia,2,don't know,don't know,yes,Biopsy,Post-AI management plan for case #26. Plan modified after reviewing AI results.,2,somewhat helpful
case_26_close_Milia.jpg,case_26_close.jpg,11,Vitiligo,2,don't know,don't know,Oral Medication,Management plan for case #26. ,1,no,Vitiligo,2,don't know,don't know,no,Oral Medication,Post-AI management plan for case #26. ,5,somewhat helpful
case_27_close_Contact Dermatitis.jpg,case_27_close.jpg,2,Tinea Versicolor,5,Cherry Angioma,Dermatofibroma,Laser Treatment,Management plan for case #27. ,2,N/A (no post-AI data),don't know,don't know,don't know,don't know,N/A (no post-AI data),don't know,don't know,don't know,don't know
case_27_close_Contact Dermatitis.jpg,case_27_close.jpg,12,Basal Cell Carcinoma,3,Basal Cell Carcinoma,Actinic Keratosis,Topical Treatment,don't know,3,yes,Basal Cell Carcinoma,4,Squamous Cell Carcinoma,Actinic Keratosis,no,Topical Treatment,don't know,4,very
case_28_dermoscopic_Milia.jpg,case_28_dermoscopic.jpg,2,Vitiligo,4,Eczema,don't know,Immunotherapy,Management plan for case #28. ,5,no,Vitiligo,2,Eczema,don't know,no,Immunotherapy,Post-AI management plan for case #28. ,3,not helpful
case_28_dermoscopic_Milia.jpg,case_28_dermoscopic.jpg,4,Acne Vulgaris,3,Hives,Cysts,Radiotherapy,Management plan for case #28. ,1,N/A (no post-AI data),don't know,don't know,don't know,don't know,N/A (no post-AI data),don't know,don't know,don't know,don't know
case_29_dermoscopic_Vitiligo.jpg,case_29_dermoscopic.jpg,11,Scabies,2,don't know,don't know,Radiotherapy,Management plan for case #29. ,2,yes,Impetigo,1,Milia,don't know,no,Radiotherapy,Post-AI management plan for case #29. ,5,very helpful
case_29_dermoscopic_Vitiligo.jpg,case_29_dermoscopic.jpg,12,Melanoma,4,Melanoma,Melanoma,Oral Medication,don't know,4,N/A (no post-AI data),don't know,don't know,don't know,don't know,N/A (no post-AI data),don't know,don't know,don't know,don't know
case_31_back_Cellulitis.jpg,case_31_back.jpg,10,Scabies,4,Milia,don't know,Phototherapy,Management plan for case #31. Recommend follow-up in 6 weeks.,5,no,Scabies,3,Milia,don't know,no,Phototherapy,Post-AI management plan for case #31. ,1,not helpful
case_31_back_Cellulitis.jpg,case_31_back.jpg,12,Basal Cell Carcinoma,3,Basal Cell Carcinoma,Basal Cell Carcinoma,Oral Medication,765,3,N/A (no post-AI data),don't know,don't know,don't know,don't know,N/A (no post-AI data),don't know,don't know,don't know,don't know
case_32_front_Seborrheic Keratosis.jpg,case_32_front.jpg,6,Dermatofibroma,5,Psoriasis,don't know,Radiotherapy,Management plan for case #32. Recommend follow-up in 6 weeks.,4,yes,Sebaceous Hyperplasia,1,Warts,don't know,yes,Phototherapy,Post-AI management plan for case #32. Plan modified after reviewing AI results.,1,not helpful
case_32_front_Seborrheic Keratosis.jpg,case_32_front.jpg,9,Milia,4,don't know,don't know,Cryotherapy,Management plan for case #32. Recommend follow-up in 6 weeks.,1,no,Milia,3,don't know,don't know,no,Cryotherapy,Post-AI management plan for case #32. ,5,neutral
case_33_back_Contact Dermatitis.jpg,case_33_back.jpg,3,Scabies,4,don't know,don't know,Phototherapy,Management plan for case #33. ,1,N/A (no post-AI data),don't know,don't know,don't know,don't know,N/A (no post-AI data),don't know,don't know,don't know,don't know
case_34_close_Folliculitis.jpg,case_34_close.jpg,2,Cherry Angioma,1,Sebaceous Hyperplasia,Atopic Dermatitis,Refer to Dermatologist,Management plan for case #34. Recommend follow-up in 6 weeks.,1,no,Cherry Angioma,2,Sebaceous Hyperplasia,Atopic Dermatitis,no,Refer to Dermatologist,Post-AI management plan for case #34. ,3,somewhat helpful
case_34_close_Folliculitis.jpg,case_34_close.jpg,4,Nevus,1,Melanoma,don't know,Reassure and Discharge,Management plan for case #34. Recommend follow-up in 6 weeks.,4,no,Nevus,1,Melanoma,don't know,yes,Immunotherapy,Post-AI management plan for case #34. Plan modified after reviewing AI results.,2,not helpful
case_35_dermoscopic_Warts.jpg,case_35_dermoscopic.jpg,3,Atopic Dermatitis,1,Tinea Versicolor,don't know,Reassure and Discharge,Management plan for case #35. Recommend follow-up in 6 weeks.,4,no,Atopic Dermatitis,1,Tinea Versicolor,don't know,yes,Cryotherapy,Post-AI management plan for case #35. Plan modified after reviewing AI results.,4,very helpful
case_35_dermoscopic_Warts.jpg,case_35_dermoscopic.jpg,9,Eczema,5,Nevus,Acne Vulgaris,Reassure and Discharge,Management plan for case #35. Recommend follow-up in 6 weeks.,5,N/A (no post-AI data),don't know,don't know,don't know,don't know,N/A (no post-AI data),don't know,don't know,don't know,don't know
case_35_dermoscopic_Warts.jpg,case_35_dermoscopic.jpg,11,Folliculitis,2,Psoriasis,don't know,Laser Treatment,Management plan for case #35. ,1,no,Folliculitis,3,Psoriasis,don't know,no,Laser Treatment,Post-AI management plan for case #35. ,3,neutral
case_36_close_Sebaceous Hyperplasia.jpg,case_36_close.jpg,3,Impetigo,5,don't know,don't know,Chemotherapy,Management plan for case #36. ,4,no,Impetigo,1,don't know,don't know,yes,Oral Medication,Post-AI management plan for case #36. Plan modified after reviewing AI results.,1,not helpful
case_36_close_Sebaceous Hyperplasia.jpg,case_36_close.jpg,5,Seborrheic Keratosis,2,Melanoma,Cherry Angioma,Laser Treatment,Management plan for case #36. Recommend follow-up in 6 weeks.,5,no,Seborrheic Keratosis,4,Melanoma,Cherry Angioma,no,Laser Treatment,Post-AI management plan for case #36. ,4,somewhat helpful
case_36_close_Sebaceous Hyperplasia.jpg,case_36_close.jpg,7,Melanoma,2,Basal Cell Carcinoma,Tinea Versicolor,Reassure and Discharge,Management plan for case #36. Recommend follow-up in 6 weeks.,4,yes,Scabies,2,Impetigo,don't know,yes,Radiotherapy,Post-AI management plan for case #36. Plan modified after reviewing AI results.,2,very helpful
case_36_close_Sebaceous Hyperplasia.jpg,case_36_close.jpg,9,Warts,1,don't know,don't know,Immunotherapy,Management plan for case #36. Recommend follow-up in 6 weeks.,4,no,Warts,4,don't know,don't know,yes,Biopsy,Post-AI management plan for case #36. Plan modified after reviewing AI results.,2,very helpful
case_36_close_Sebaceous Hyperplasia.jpg,case_36_close.jpg,12,Basal Cell Carcinoma,4,Basal Cell Carcinoma,Squamous Cell Carcinoma,Oral Medication,don't know,4,yes,don't know,don't know,don't know,don't know,yes,don't know,don't know,don't know,don't know
case_37_close_Milia.jpg,case_37_close.jpg,3,Vitiligo,3,Tinea Versicolor,Impetigo,Refer to Dermatologist,Management plan for case #37. ,2,no,Vitiligo,2,Tinea Versicolor,Impetigo,no,Refer to Dermatologist,Post-AI management plan for case #37. ,1,somewhat helpful
case_37_close_Milia.jpg,case_37_close.jpg,10,Milia,4,Vitiligo,don't know,Biopsy,Management plan for case #37. ,3,no,Milia,2,Vitiligo,don't know,no,Biopsy,Post-AI management plan for case #37. ,5,neutral
case_37_close_Milia.jpg,case_37_close.jpg,11,Vitiligo,1,Psoriasis,Contact Dermatitis,Biopsy,Management plan for case #37. ,4,N/A (no post-AI data),don't know,don't know,don't know,don't know,N/A (no post-AI data),don't know,don't know,don't know,don't know
case_37_close_Milia.jpg,case_37_close.jpg,12,Basal Cell Carcinoma,3,Basal Cell Carcinoma,Squamous Cell Carcinoma,Topical Treatment,don't know,3,yes,Melanoma,4,Squamous Cell Carcinoma,Seborrheic Keratosis,no,Topical Treatment,don't know,4,very
case_38_close_Shingles.jpg,case_38_close.jpg,8,Contact Dermatitis,5,don't know,don't know,Immunotherapy,Management plan for case #38. ,4,no,Contact Dermatitis,4,don't know,don't know,no,Immunotherapy,Post-AI management plan for case #38. ,4,somewhat helpful
case_39_front_Milia.jpg,case_39_front.jpg,3,Impetigo,1,Contact Dermatitis,Acne Vulgaris,Cryotherapy,Management plan for case #39. ,5,N/A (no post-AI data),don't know,don't know,don't know,don't know,N/A (no post-AI data),don't know,don't know,don't know,don't know
case_39_front_Milia.jpg,case_39_front.jpg,7,Sebaceous Hyperplasia,3,Cysts,Warts,Oral Medication,Management plan for case #39. Recommend follow-up in 6 weeks.,5,no,Sebaceous Hyperplasia,1,Cysts,Warts,yes,Radiotherapy,Post-AI management plan for case #39. Plan modified after reviewing AI results.,4,not helpful
